,POI,hash_raw_address
20,toko bangunan ajs,toko bang ajs 
40,markaz tabligh metro,market tabloid metro iringmulyo metro timur
110,cv. hingdi oto kencana,cv hin oto kencana sido ii q 29
137,berkat nadah agung,berkah nadah agung
152,pd. karya warga mandiri cimb,ujung harapan notaris 48a pd karya warga mandiri cimb bahagia
155,primaadi warna dan rekan,primary warna dan rekan kembang jeruk iv tlogosari kulon
157,alun - alun kuliner nusantara,alun alun kuliner nusantara karang
169,electrolux laundry system,taman merapi 13 electronic laundry system 2 meruya utara
187,station88 accessories,statistik accessories roxy masjid cideng gambir
192,aempe pluit bataco raya pt,aempe pluit batang raya pt soekarno hatta notaris 732 mekar mulya cinambo
198,"notaris dan ppat emmy halim, sh.mkn",notaris dan ppat emmy halim sh mandiri utara
225,"graha mampang, 2nd floor raya",duren tiga graha mampang 2nd floor raya mampang prapatan 100 rta 2 1 pancoran
227,wisnu elektronika,wisnu elektronik raya maja ranca bojongloa rancaekek
251,rumah cuci rianda,rumah cuci ria cempaka besar mawar banjarmasin tengah
255,kantor bupati asahan,kantor bupati asa mekar baru
265,tb. kencana,tb kencana pulau sulawesi
266,t-shirt design store,t sh design store veteran cilacap selatan
287,jaja polet dan variasi,jajanan polet dan variasi k h abdul halim majalengka kulon majalengka
289,puskesmas mekarsari,puskesmas mekar prof dr ir sutera mekar sari rangkasbitung
323,kawat penahan batu,kawat pena batu tanah merdeka 
347,k'kini korean & indonesian restoran,sambel ratulangi k kini korpri indonesian restoran ranowangko
363,makaroni d5,makassar d5 ciputra 1 kebayoran lama
366,dpc asosiasi kontraktor listri,dpc asosiasi kontraktor lis kolombo sugi 
370,ad sandi cakra pratama. pt,ad sandi cakra pratama pt pulau karam kampung pondok
372,slta kartini,slta kartika budi kemuliaan kampung pelita
386,nur cholis,nur chona 
387,dony baturaja,dony batu bekasi barat rawa bunga
399,sekretariat uppkh kecamatan sukodono,sekretariat uppkh kecamatan suko jenderal gatot subroto 
436,taman chempuck,taman chemical jati pangkalanjati cinere
444,warteg fikri,warung fikri maulana yusuf 
469,maxime rental kamera,maxime rental kampus sragen 
495,baguna resort,bag resort 
496,toko soleha,toko solusi moch toha muka
503,alfatah busana,rintis alfamart busana hasanuddin 6
513,sd negeri cikiwul 4,sd negeri cikijing 4 rawa tengah pangkalan 2 bantar gebang
524,warnet planet,warung planet tamalate
556,thetya cell,the cell raya ubu nyerot jonggat
559,pondok kuring lassofi,merdeka notaris a18 14 pondok kurnia lassofi 
579,mieayam dan bakso kraton,mieayam dan bakso kramat wangandawa
593,batara internasional finansindo pt,batang internasional finansindo pt gajah mada notaris 13cd rw 1
604,pancaroada utama abadi. pt,pancar utama abadi pt ling notaris 583 30125 ilir timur i
608,majelis taklim koripan,majelis taklim kori pagentan
641,yayasan gugah nurani indonesia,yayasan gugah nur indonesia kel gading kelapa gading barat
661,ma sunan kalijaga,ma sunan kali karang suraga cinangka
677,ud. yuniyati 1,kadipaten kidul notaris 11 ud yuni 1 
684,song cellular,song cell raya setu ban gebang bantargebang
713,mushalla baitulrido,mushalla baitul raya gunung halunuk gununghalu gununghalu
736,sd negeri no 106143,sd negeri notaris 106 batang kuis notaris 111
752,alam boga internusa pt,alam boga inter pt bulakw
771,soto ayam & rawon lamongan,soto ayam rawon lamongan pantai sari 259 marga sari balikpapan barat
776,madiha coffee,madura coffee 
786,intercity kerlipan. pt,intercity kerlipan pt jenderal sudirman 
799,dynamic language institute,dynamic langgeng institute prof laf panesia 
817,rubindo murni perkasa. pt,teluk gong raya notaris 32 rubi murni perkasa pt rta 4 penjaringan
834,warkop maknyak,warung maknyak kutuk barat as 10
838,ayam penyet and sambal goang d 45 da,soekarno hatta notaris 726 ayam penyet and sambel goang d 45 da situsaeur bojongloa kidul
839,mts tanada,mts tan wadomi asri dalam notaris 170
841,warung valentine 27,warung valen 27 garden kunjung maesan
869,pert sumber usaha,pertiwi sumber usaha aruna cicendo
876,banana nugget bang kumis,p suryaa notaris 3 ban nugget bang kumis regol wetan
889,fahri profil,fahri pro soekarno hatta
892,alamsyah. ud,alamsyah ud wahid hasyim samarinda utara
898,karyawan novotel hotel batam (kopkar novo),duyung karyawan novotel hotel batam kopkar novotel lubuk baja
904,pesantren salafiyah baitur rafki as sadiyah,pesantren salafiyah baiturrohim rafki as sadiyah talu
905,kantor pengacara windu winarso sh,moh husni thamrin notaris 49 kantor pengantin windu winarso sh 
907,kantor pu kab. tanah datar,kantor pu kab tanah datar
927,toko alfaza fashion,toko alf fashion raya kali royo 
941,junita komunika mbl,junior komunika mbl griya raya 1 3 sukawarna
945,toko baraya,toko bar awi bitung 
967,eka sari lorena transport. pt - agen andongsari - jember (harapan),eka sari lor transport pt agen andongsari jemaat harapan dharmawangsa jubung
989,ptpn viii talun santosa,ptpn viii talun santoso sindang sirna gegerkalong sukasari
1001,toko bangunan raksa putra,toko bang raksa putra kebon gedung maleer batununggal
1030,alfamrt h660 srdu sira,dr cipto mangunk notaris 4 alfamart h660 srdu sirajul bojongbata
1039,ibu rohana,ibu rohman puyung
1044,miso ayam takana,miso ayam taklim h imam munawir tenayan raya
1052,german camp centre,gereja camp center pagedangan
1058,anbenov butar butar collection,marlina barat 343 anbe butar butar collection padangsambian denpasar barat
1075,kucrut cell,kucing cell raya magelang 
1094,liek toyota - indrapura,liek toy indra indra jaya gang tengah pabean cantikan
1101,toko aar gorden haji armuji,toko aar gorden haji armada veteran sungai baru
1133,perumahan devina town house,candi sari i notaris 19 perum devina town house 
1142,warkop ibu sugiasih,warkop ibu sugi ahmad yani bajing
1166,darminah,darmanto
1174,pawon sriratu - pawon inspirasi,pawon sriratu pawon inspirasi pahlawan bumi rejo
1186,mie ayam bakso dewadaru,mie ayam bakso dewa karanganyar gunung candisari
1218,masjid al-hidayah,masjid al hidayah dal 1
1220,farozz net,alun jati notaris aa 1 farida net rw 9 mijen
1244,kallista prima. pt,widoh a 13 kallista prima pt 
1297,oc barber shop,oc bar shop purwakarta
1303,alifah jaya. cv,ali jaya cv
1321,prima bordir,prima bor jenderal ahmad yani 12 rw 6 wonokromo
1322,fotocopy,foto danau tondano denpasar selatan
1335,heaven skateboards,health skateboards truno bandung wetan
1349,puskesmas pudak payung,puskesmas pudak pay perintis kembar pudakpayung
1360,jembatan cikema - cibinong kesohor market,jembatan cikema cibitung kesohor market raya bogor ciriung cibinong
1363,smp swasta dharma bakti besitang,smp swasta dharma bakti besi kejuruan muda
1375,beluran panjang kel.,beluran panjang kel beluran panjang
1388,kebond,kh wacana hasyim 1 1 kepatihan keb kaliwates
1403,paket tour bandung lembang tour,paket tour bandung lembaga tour sumbawa 25 40113
1414,garuda mas laundry dan dry cleaning,ane v notaris 18 garden masjid laundry dan dry cleaning
1428,pt halimsak tripratama,pt halimah tripratama
1443,tahu jontor bung tomo,tahu jon bung tomohon bung tomohon sungai keledang samarinda seberang
1461,sanken,sandal raya porong 
