entity,predict,output
POI,mdw darul ulum,mdw darul ulum
POI,ud kayu mas,ud kayu mas
POI,bpsdm hukum dan ham,bpsdm hukum dan ham
POI,madu sari alam,madu sari alam jambi
POI,widy club,widy club
POI,cv daito indah,cv daito indah
POI,kateguhan genjik,genjik pigura
POI,minimarket bu wati,minimarket bu wati
POI,taman garuda,taman garuda
POI,ria star indonesia. pt,ria star indonesia. pt
POI,ruko babatan pantai i,ruko babatan pantai
POI,perumahan alamanda dago permai,perumahan alamanda dago
POI,talang pancur,talang pancur
POI,betty salon,betty salon
POI,gedung ratu,gedung ratu
POI,the big family,the big family pulo
POI,terminal limbangan,terminal limbangan
POI,samil_pubg_mobal,samil_pubg_mobal
POI,erfina kencana regency,erfina kencana regency
POI,rumah jus & sop buah,rumah jus & sop buah
POI,bri kanca negara,bri kanca negara
POI,percetakan maharani,percetakan maharani
POI,komplek perhubungan darat,komplek perhubungan darat
POI,bakso popey,bakso popey
POI,lbc,lbc
POI,ucik,ucik
POI,shane com - ho,shane com - ho
POI,teluk cinta,teluk cinta
POI,keris mas toko,keris mas toko
POI,apotek adhyaksa farma,apotek adhyaksa farma
POI,bunda,bunda
POI,palm spring regency,palm spring regency
POI,lippo cyber park,lippo village
POI,taman ceria,taman ceria
POI,am7 cell,am7 cell
POI,rph pulogadung,rph pulogadung
POI,dirty chicks,dirty chicks
POI,bakso urat dan mie ayam,bakso urat dan mie ayam
POI,griya abdi cilendek,griya abdi cilendek
POI,warung bunga,warung bunga
POI,toko anastasia acc,toko anastasia acc
POI,banjar dinas kawanan,banjar dinas kawanan
POI,perum griya kencana,perum griya kencana
POI,fajar gemstone,fajar gemstone
POI,ganda manah,denny manji
POI,toko moyomi,toko moyomi
POI,rental mobil trent,rental mobil trent
POI,tambang ayam,tambang ayam
POI,kpa regency,kpa regency
POI,atm bri,atm bri
POI,wajak wajak,pasar wajak
POI,muara baru,muara baru
POI,jababeka education park,jababeka education park
POI,surya jaya pratama. cv,surya jaya pratama. cv
POI,kos kosan pondok kedaton,kos kosan pondok kedaton
POI,perusahaan daerah air minum purwakarta,perusahaan daerah air minum purwakarta
POI,zona soft drink,zona soft drink
POI,dusun setana,dusun setana
POI,warji indramayu,warji
POI,bandar udara melonguane,bandar udara melonguane
POI,puskesmas cileunyi wetan,puskesmas cileunyi wetan
POI,kampus 2 uin walisongo,kampus 2 uin walisongo
POI,ra karangjunti,ra karangjunti
POI,cuci motor,cuci motor
POI,green lake city,cordoba d27
POI,rust cell,rust cell
POI,azhar botot,azhar botot
POI,oscar ud,oscar ud
POI,toko peralatan,toko peralatan
POI,bata,bata
POI,tk idhata 1,tk idhata 1
POI,ruko sentral,ruko sentral
POI,brug kuning,brug kuning
POI,terminal haji. pt,terminal haji. pt
POI,phe-gr 72,sma.n phe-gr 72
POI,kenari farm gallery,kenari farm gallery
