entity,predict,output
POI,toko harum buj,toko harum
POI,loccomotif juice,loccomotif juice
POI,komplek ocbc,komplek ocbc
POI,alfamart,alfamart
POI,saung sadulur,saung sadulur
POI,percetakan,percetakan
POI,ahmad,ahmad
POI,febri jaya toko,febri jaya toko
POI,kios ebi,kios ebi
POI,perum puri sampurna,perum puri sampurna
POI,toko yens closet,toko yens closet
POI,pelabuhan patimban,pelabuhan patimban
POI,javelyn boutique,javelyn boutique
POI,warung mang roup,tanah garapan
POI,mega persada,mega persada
POI,sman 1 ketahun,sman 1 ketahun
POI,tamzis,tamzis
POI,ayu salon,ayu salon
POI,ayurveda spa,ayurveda spa
POI,veteran agc,veteran agc
POI,bank btpn,bank btpn
POI,donat enci,donat enci
POI,kilo 7,kilo 7
POI,warung jeje,warung jeje
POI,toko toto,toko toto
POI,eagle,eagle
POI,gulai bancah,gulai bancah
POI,ud. sb,usman sidiqque ud. sb
POI,berkah jaya mart,berkah jaya mart
POI,dan geprek,jualan penyet dan geprek
POI,sarno motor,sarno motor
POI,mabes zchar,mabes zchar
POI,honda ahass 11426 anugrah html,honda ahass 11426 anugrah html
POI,graha tirta,graha tirta
POI,toko bell's beauty surabaya,toko bell's beauty surabaya
POI,cluster mutiara,cluster mutiara
POI,perumahan wella mandiri,perumahan wella mandiri
POI,toko duta logam,toko duta logam
POI,krakatau industrial estate,krakatau industrial estate
POI,tb harapan jayalina,tb harapan jaya
POI,suciharjo ponco,ponco
POI,masjid al-fajri,masjid al-fajri
POI,toko fauzi,toko fauzi
POI,toko sita shop,toko sita shop
POI,oasis lestari,oasis lestari
POI,koerdunk,koerdunk
POI,tiki,tiki
POI,sate ayam fadillah,sate ayam fadillah
POI,rm bude,rm bude
POI,jembatan pelangi,jembatan pelangi
POI,toko baju bayi aqil,toko baju bayi aqil
POI,aik nyet,aik nyet
POI,larina textile,larina textile
POI,sd negeri 99 kadieng,sd negeri 99 kadieng
POI,dta miftahul kholer al hasani,dta miftahul kholer al hasani
