,raw,output,predict
4941,"hadi raya kre, no 29 balaraja",3,2
51775,"pemberdayaan kesejahteraan kelu sudajaya hilir, sudajaya hilir baros",1,2
115253,"merak 11, no 10 cikarang utara",2,2
299321,hotel fairmont jl asia afrika 8 gelora bung karno,3,3
173570,"kar anyar d, 4 karang anyar rt 15 1 sawah besar",2,2
30862,roban gg. bakti 135 singkawang tengah,2,2
244471,"toko kopi sinar baru, ikan lumba lumba pesawahan",3,3
127794,raya laswi 58,2,2
71558,perum ambar wari elok waringin jaya bojonggede,2,2
218011,"sul agung vi, 6 purwantoro blimbing",2,2
148208,"peli, andir",2,2
155735,kalibata raya pasar min no 11b rt 7 rw 8 pancoran,0,2
100698,"pelangi motor, dono arum",1,3
241403,"rumah penga ahmad yani, no 62 cikampek selatan cikampek",2,3
195272,jl. ganda klapagading kulon banyumas,2,2
238663,"war moro seneng, andi map balang baru",0,3
262957,"lor pasar atom,",2,2
207082,"budi utomo, mas at-t margodadi, margo dadi",3,3
298896,"toko lestari, malawili aimas",1,1
220946,teng 58 pardomuan siantar timur,2,2
74581,"desa pem, issaturradiah",3,3
253578,ancol kamp muka 4 rt 4 4 14430 pademangan,2,2
47620,setia darma i setiadarma tambun selatan,2,2
92772,sim i 6 kertawinangun kedawung,2,2
116904,jagakarsa dur barat ii no 15 4 jagakarsa,2,2
208352,maleber male utara 151 andir,2,2
76044,"eka motor, m. hasi, bekasi selatan",3,3
202667,"toko s harja, mauk timur",1,3
62134,"dukuh kup timur xiv, pakis sawahan",2,2
277353,gergunung mayor kusm no 14 57438,2,2
64194,cijantung gong timur raya 36 10 pasar rebo,2,2
295822,bulak gg. ii e 10 7 60124 bulak,2,2
27391,"lovely juice, raya kara, karang tanjung",3,2
203500,man mund setu cipayung,2,2
264505,"ud. juainah geja, gondokusuman",3,1
297455,"kayu manis 1, 33 pt. damaska tata desain, rw 2 matraman",0,3
137985,saluyu a xv 170 cipamokolan rancasari,2,2
47622,wisata bukit mas2.grand palais.g10-31,1,1
21911,"pos polisi caruban, bale rejo balerejo",1,1
94181,sektret bas,1,2
68117,"cinta salon, raya pasar cibodas bayongbong",3,3
39648,"semar jaya snack, kapuk kamal raya,",3,2
73722,pelab ii no kadulawang situmekar lembursitu,2,2
133456,taman tulip iii medan satria,2,2
30763,"omah baju rha, sem, kepanjen lor",3,2
58096,ten pahl kunto darussalam,2,2
126979,"apo yulia farma, kalima, tempe",3,3
149636,haji usman 140 rt 7 11 kelapa dua wetan ciracas,2,2
27810,gg. duren iv no 19 grogol,2,2
272001,"pak 5, no 7 tanimulya ngamprah",2,2
114617,renon gg. ix f 77 80234 denpasar selatan,2,2
190693,harapan jaya perk iii 23 17124 bekasi utara,2,2
219814,"buana multi pack lest raya must sari, mustika jaya",3,3
67164,"usman sadar, no 96 kemuteran kel.",0,2
83961,"pt pura batutama, lingkar kudus,",3,3
254122,"taman murni, 111 gunung ibul barat prabumulih timur",2,2
141378,kalibata kali timur ii no 119 8 12740 pancoran,2,2
151754,"kh mustofa, no 145 nagarawangi kel. cihideung",2,2
125013,jl.k ngin uta gang kavl ngingas waru,0,2
273552,"panc, sidorejo medan tembung",2,2
201853,pakansari curug no 48 rt 6 5,2,2
99511,"(solitaire motor sport) gereja gki, sektor 3a , seberang, jl. bintaro utama 3a, pd. karya",0,3
25140,"kan desa bunut baok, bunut baok,",3,1
7603,ahli kunci brankas puri anjas,3,1
84095,mawar periuk,2,2
84071,"desa kalahien, jl.barito, gg.awan, no. 14, rt.07, rw.02 dekat jembatan kalahien",1,1
151177,"komplek bni,jl.swadharma no 12",3,3
294081,"b,",2,2
88694,gonis tekam lin kal poros ten 79515 sekadau hilir,2,2
99932,nan 4 no 40 rt 5 rw 1,2,2
14442,sumbersari suma no 107 sumber sari,2,2
162220,"pt surya timur sakti jatim let m. t. hary,",3,3
163631,tambak wedi tam wedi baru vii 39 3 kenjeran,2,2
49023,"b. iqbal puc anom,",3,2
80644,kebon sereh barat 18 rt 8 15 matraman,2,2
274016,swak baru no 26 dauh puri klod denpasar barat,2,2
64876,"toko mebel, jend gatot subr, karangketug",3,3
156696,"perumahan wahana cikarang selatan blok b 7 no. 2 rt 01 rw 09 , desa sukadami",1,1
295991,"pt bas salim wisata pasir jati timur, ujung berung",3,3
192037,"kurnia cell, purnaw, 34 36b",3,3
118765,"kedai kha, ipik gan, ciseureuh",0,3
94748,"raya abian, no 159 be smart shop, mengwi",3,3
251764,dur no 18 pahandut pahandut,0,2
60381,abdul gani 1 sudimara timur ciledug,2,2
283938,tawes raya 4 kota baru rt 4 2 bekasi barat,2,2
195995,"cosmo residence, thamrin city, jl. k.h. mas mansyur, kebon melati, tanah abang, jakarta pu",3,3
112778,wonosobo timur raya bren - banjarnegara 124-120 56311 wonosobo,2,2
76727,"jl. perintis no. 25a perintis town house kav. 22, pisangan",3,3
21435,"buah batu, 279 bank bpr jelita, turangga",3,3
17468,"kings alum, dep 14 bintaro",3,2
225673,"toko bu rum wono i, tegalsari",3,3
79759,burja 24 petisah tengah medan petisah,2,2
257599,komp ar rah pelambuan kel. banjarmasin barat,2,2
270720,"sukamiskin golf barat ii, 40293 arcamanik",2,2
153801,"rusmi, kolo sugi, gadang sukun",3,2
92266,jembatan 3 belakang paspol masuk kedalem deket mck,1,1
207329,karang bukit kar 1 62314 semanding,2,2
243955,emer xi 15 kembangan kebomas,2,2
288928,pekunden angg iv 12 semarang tengah,2,2
186600,"mitra sej viii, cinunuk cileunyi",2,3
48005,"toko busana melati,",0,3
212520,"pancool, 4 lukman, 10",3,2
294075,mars surya darma acp neglasari neglasari,2,3
131575,"kedungbadak tk al munir, desa ked badak no 14 tanah sereal",3,3
202057,tukad yeh sungi renon denpasar selatan,2,2
239160,pondok karya agung ba 12 kel sungai nangka balikpapan kalimantan timur,1,2
92611,pahl 10 toko jayabaya,3,3
268351,"wahy,",0,2
259109,"raya baba mad, 126 citaringgul babakan madang",2,2
265328,"nda manguns, bangi no 616",3,2
229144,"smk negeri 3 payaku, payakumbuh timur",0,3
261302,gg. asem ciracas ciracas,2,2
84117,"taman cen,",2,3
31189,"puske, tarutun tapa selatan, tarutung",0,2
107254,murti sakti 223 rw 25 pedurungan,2,2
192798,pt. kaltim prima coal tanjung bara airport sangatta,1,3
28083,"rangkapan jaya baru obl, no d3 10 16434 pancoran mas",2,2
118789,wira yudha 3 no 8 balikpapan selatan,2,2
2152,"dyna core comp & cellular, putra 11, sidanegara",3,3
287026,"cfc joglo, pang hidayat, sawah gede cianjur",3,2
249169,pranti mawar no 19 sedati,2,2
137539,jl. seng rt 1 muncul setu,2,2
46291,"sei deli, no 2d sinar pagi rumah makan,",3,3
30233,ilham playst lubuk buaya,1,2
175145,"mamp prap ii no 33 warung nasi cianjur, 5",3,3
50676,perempatan simp ulo skpd sumbu sari mesuji raya,1,2
71570,bendul merisi ben mer sela iii 88 rw 10 60239 wonocolo,2,2
219843,teluk pucung apel merah 3d 16 rt 4 21 17121,2,2
36279,"panta, sambigede sumberpucung",2,2
66052,mas con no 50 batu ampar rt 16 3 kramat jati,2,2
252609,"pasar bin jln. pekap raya, gg. bin indah 2 banjarmasin timur",3,3
24783,kapas madya i-d 37 gading rt 6 16 tambaksari,0,2
299327,"sd neg 2 igal, tembilahan",1,1
95349,"tb.sahabat wahana, depan perumahan wahana cikarang, sukadami cikarang selatan.",1,1
46332,"ihsan mand, gotong roy, tegalrejo",3,3
91240,ban reksa indah 2 27 karang tengah karang tengah,2,2
5445,ding 1 ding prambanan,3,2
272876,kav. xv pejuang rt 4 21 medan satria,0,2
43811,gang poma baru ix simomulyo kel. sukomanunggal,2,2
217082,"rm. sari bundo resto dan cafe, babat babat toman",1,3
100370,plaju ulu lor sri raya 5 11 plaju,2,2
258874,"pt. ecolab international indonesa, ikat plaza, jl. by pass ngurah rai no 505 pamogan",3,3
121949,bantarjati nasi xi 248 rt 5 rw 10 bogor utara - kota,2,2
212950,sukorejo andan 110-112 lamongan,2,2
200057,"sd muhammadiyah 4 meruyung depok, haji katim",3,3
229177,"man, no 149 pondok jaya cipayung",2,2
287838,"war makan sumber mulia, 55551 turi",1,3
213118,"tanjung lemb bantuan hukum sat mas, geri, 53143",3,2
176475,ged serba tlogo tlogolele,1,1
118176,"riski souvenir, ki asnawi, tangerang",3,2
209024,puc argo raya 93 batursari mranggen,2,2
221906,"bunga asoka, usaha jaya, asam kumbang",3,3
42493,"casa nero rouv,",1,2
223728,rudi cell raya cianj cikahuripan,2,3
141993,menteng ment tengg 12 rt 11 1 10310 menteng,0,2
55675,jl. dakota mess galaxy no 21 lanud sultan hasanuddin,0,2
224087,telaga asih del raya 14 rt 6 10 17530 cikarang barat,2,2
83655,"widya fashion, dr raji, pasar kliwon",0,3
61917,"sd neg raci, raci",0,1
153665,raya tang no 19 rajeg mulya rajeg,2,2
155758,toko raula,1,1
190393,"cuci mobil & motor 366, cisara kulon i,",3,3
231050,term ind jawa singkawang tengah,2,2
201122,"tam's chicken, a. h. nasu",3,2
59267,jl.argapura no.37b belakang hotel agung,3,3
262487,sungai ulin jeruk 119 70714 banjar baru selatan,2,2
188582,"raudhatul ath aisy 5 kalitengah, kalitengah",1,2
131814,tulusrejo bant barat iv 36 65141 lowokwaru,2,2
73949,"swalayan satr, ahmad yani, mejayan",3,3
154308,"sman 1 jatil, indu no 1 maracang",2,2
167194,"singa utara, no 8 tk b nurul falah rw 4 pedurungan",3,3
277393,"inte inte raya sakah, sukawati",0,2
196835,"sd neg 22 saliguma, siberut tengah",1,1
91690,"pur, no 13 stu karaoke, bandung wetan",3,2
162086,"tubanan tuba indah iii, 1 9",2,2
231058,"pool primajasa, jl. re martadinata no.19, cipayung, kec. ciputat, kota tangerang selatan",3,2
54120,kali baru tit indah ii 7 rt 2 9 17124 medan satria,2,2
247858,"plosokerep kel. timor, 3b 66134 sanan wetan",2,2
98092,"ki hajar dewan, no 26 karanganom klaten utara",2,2
271915,"three pas motor rs ancol, sunter agung",0,3
44677,"asian high 2, no 199 wiradesa",2,2
56078,aka tlajung udik gunung putri,2,2
129375,"ika kelu alumni (ika) univer islam indon, kh ahmad dah, no 129 mojoroto mojoroto",2,3
133361,"meu suko agung, suko sem, h 19 7 semolowaru",0,2
85866,"panc ii, 89 indra kasih medan tembung",2,2
191559,nua bukit 1 benoa kuta selatan,2,2
218728,"regen, b6 11 pagedangan kel. pagedangan",2,2
208771,cak drai 65 rt 9 8 cakung barat cakung,2,2
109195,"jaka - bogor, bojongsari lama bojongsari",2,2
39549,cen karangkemiri maos,2,3
169828,bukit datuk tunas muda 61 dumai selatan,2,2
57416,jambu tree residence blok c2 no. 37 (titip saja di pos satpam),1,1
33193,"yuki spring bed ruko muti, cipayung",3,3
173865,"komp villa muti asri, muti elok 4 bulurokeng",3,3
50919,danau singk raya 14-15 abadijaya sukmajaya,2,2
108504,"cigereleng kem baru utara v, 10 regol",2,2
72963,"bengkel motor banyumas bukit duri tanj, no 98 rt 2 rw 9 12840",3,3
270712,"ment dalam, no 14 eka, rw 10 tebet",3,2
63504,sunter agung agung perk 11 3 rt 1 rw 14 14350 tanjung priok,0,2
26896,m kebon baru rt 10 14 tebet,2,2
261152,landungsari pu lan dau,2,2
8838,bunga raya lengkong wetan serpong,2,2
16064,"bunda laun dan dry clea, evak, kesambi",3,3
107661,pondok benda salak 8 18 15416 pamulang,2,2
130161,raya ked - pare 10 bendo pare,2,2
179573,"lang, alfamart 1j15, kertaraharja pedes",3,3
116121,sri rej iii no 11 rw 2 semarang barat,0,2
32234,royal residence cluster greenwich b19-295,1,1
191736,jl. depan amal isla sch pondok aren pondok aren,2,2
57456,"angg, no 113 karang tengah kel.",2,2
160502,"jend ahmad yani, no 176 sungai baru kel.",2,2
215795,"wulu andra sportt,",3,2
126714,potong rambut putra kembar,1,1
173047,"saka cell, gumu, gumuruh batununggal",3,3
97726,"mod data sol pt matr raya, no 12 6 senen",3,3
193811,"imam bon, ngadirejo kel.",2,2
17156,lamtemen timur ubiet outfit teuku umar no 475,3,2
71055,grogol utara mas nur 88 rt 9 10 12210 kebayoran lama,2,2
193990,pulo gebang komar lama 35 rt 4 5 cakung,2,2
52059,aria sant rt 5 1 15720,2,2
274757,"ud. abd. haris  bais, bts. tapa sel. 1-j merah pidoli dolok",3,3
1558,"swi tour dan tra,",1,1
253081,"jl. tang mas barat xi , panggung lor semarang utara",0,2
181909,"jat 5a, 32j rw 6 grogol petamburan",2,2
145269,"urip salon tel warna, gelangan",2,3
186660,"danau buyan v, denpasar selatan",2,2
6479,"fatika keru tanj,",3,2
249414,desa tanj sari no 43 36141 jambi timur,2,2
43182,kart no 17,2,2
248529,tugu utara may sari ii no 7 15 14260 koja,0,2
125724,"mts swa nurus salam, palenga'an",1,1
214268,mojo jl. kali 26 8 gubeng,2,2
270767,prap ken 73 cilangkap rt 6 rw 7 cipayung,2,2
141103,tebet barat tebet barat ix 27 tebet,2,2
292203,jln perintis kemerdekaan 3 btn hamzy blok o nomor 2,3,3
62008,pekap raya 9 tanah sereal rt 8 rw 7 tambora,2,2
89122,ran 26 babakan penghulu cinambo,2,2
47736,mabad bawah iii,0,2
222505,"r. e. mar, ilir timur ii",2,2
29628,sunter agung agu uta 8b no 4 rt 7 rw 9 14350 tanjung priok,2,2
202216,"satya fotocopy, hayam wuruk, sumerta kelod",3,2
194828,cita cideng gambir,2,2
18649,cen 24-16 9 ilir ilir timur ii,2,2
199020,suma larangan indah larangan,2,2
111554,"mas al-muja, getas bawang",1,1
244687,pt vetco gray indonesia,1,1
230919,mekar jaya tole iska 39 sukmajaya,2,2
42397,"banyu kopi cafe raya taw, tawangargo",3,3
221946,"bumi karsa, 5a rt 3 panakkukang",2,2
168390,"pegad upc cem,",1,2
175576,bunga i jatibening baru pondok gede,2,2
153541,"bha, no 35",2,2
74055,rawa buaya tar indah 56 rt 1 10 11740 cengkareng,2,2
233828,"sop iga sapi, jend sudi,",3,2
131312,sadar 4,2,2
224154,ahmad ya 63 binanga mamuju,2,2
266743,tugu sadar 51 cimanggis,2,2
15594,"bela laundry, bambu kuning, batu aji",3,3
227419,suka mulia dok sut sail,2,3
115531,weli 45 pare pare,2,2
12282,karanggede raya mirit 67 mirit,2,2
21847,pt royalindo engraftama cikupa,1,3
86772,"kartoharjo jawa, 8",2,2
193139,kelapa tiga jl. hi. agus sal gg. lang gg. sela kelurahan tanjung karang pusat,2,3
100472,kedungsari li 106 28156 sukajadi,2,2
