entity,predict,output
POI,jaya maspion permata,mdw darul ulum
POI,ud kayu mas,ud kayu mas
POI,bpsdm hukum dan ham,bpsdm hukum dan ham
POI,bpsdm hukum dan ham,madu sari alam jambi
POI,widy club,widy club
POI,cv daito indah,cv daito indah
POI,cv daito indah,genjik pigura
POI,minimarket bu wati,minimarket bu wati
POI,taman garuda parang,taman garuda
POI,ria star indonesia. pt,ria star indonesia. pt
POI,ruko babatan,ruko babatan pantai
POI,perumahan alamanda dago permai,perumahan alamanda dago
POI,talang pancur,talang pancur
POI,betty salon,betty salon
POI,gedung ratu,gedung ratu
POI,the big family pulo,the big family pulo
POI,terminal limbangan,terminal limbangan
POI,samil_pubg_mobal,samil_pubg_mobal
POI,erfina kencana regency,erfina kencana regency
POI,rumah jus & sop buah,rumah jus & sop buah
POI,bri kanca negara,bri kanca negara
POI,bri kanca negara,percetakan maharani
POI,komplek perhubungan darat,komplek perhubungan darat
POI,komplek perhubungan darat,bakso popey
POI,lbc,lbc
POI,ucik,ucik
POI,shane com - ho,shane com - ho
POI,shane com - ho,teluk cinta
POI,keris mas toko,keris mas toko
POI,apotek adhyaksa farma,apotek adhyaksa farma
POI,bunda,bunda
POI,palm spring regency,palm spring regency
POI,lippo cyber park,lippo village
POI,taman ceria,taman ceria
POI,am7 cell,am7 cell
POI,rph pulogadung,rph pulogadung
POI,rph pulogadung,dirty chicks
POI,bakso urat dan mie ayam,bakso urat dan mie ayam
POI,griya abdi cilendek,griya abdi cilendek
POI,warung bunga,warung bunga
POI,toko anastasia acc,toko anastasia acc
POI,banjar dinas kawanan,banjar dinas kawanan
POI,perum griya kencana,perum griya kencana
POI,fajar gemstone,fajar gemstone
POI,denny manji,denny manji
POI,toko moyomi,toko moyomi
POI,toko moyomi,rental mobil trent
POI,tambang ayam,tambang ayam
POI,kpa regency,kpa regency
POI,atm bri,atm bri
POI,atm bri,pasar wajak
POI,muara baru,muara baru
POI,jababeka education park,jababeka education park
POI,surya jaya pratama. cv,surya jaya pratama. cv
POI,kos kosan pondok kedaton,kos kosan pondok kedaton
POI,kos kosan pondok kedaton,perusahaan daerah air minum purwakarta
POI,zona soft drink,zona soft drink
POI,dusun setana,dusun setana
POI,dusun setana,warji
POI,bandar udara melonguane,bandar udara melonguane
POI,puskesmas cileunyi wetan,puskesmas cileunyi wetan
POI,puskesmas cileunyi wetan,kampus 2 uin walisongo
POI,puskesmas cileunyi wetan,ra karangjunti
POI,cuci motor,cuci motor
POI,cuci motor,cordoba d27
POI,cuci motor,rust cell
POI,counter t cell,t cell
POI,azhar botot,azhar botot
POI,oscar ud,oscar ud
POI,toko peralatan,toko peralatan
POI,bata,bata
POI,bata,tk idhata 1
POI,bata,ruko sentral
POI,brug kuning,brug kuning
POI,terminal haji. pt,terminal haji. pt
POI,terminal haji. pt,sma.n phe-gr 72
POI,kenari farm gallery,kenari farm gallery
POI,stmj durenan,stmj durenan
POI,asrama mahasiswa ui,asrama mahasiswa ui
POI,stock house,stock house
POI,linaya community living,linaya community living
POI,himajaya,himajaya
POI,perumahan wahana,perumahan wahana
POI,warung kopi bang gendut,warung kopi bang gendut
POI,indopalm perkasa,indopalm perkasa
POI,pelabuhan wini,pelabuhan wini
POI,smp negeri 4 sumberasih,smp negeri 4 sumberasih
POI,smp negeri 4 sumberasih,kedai chili padi
POI,toko nayla,toko nayla
POI,graha prima baru,graha prima baru
POI,toko abid jaya,toko abid jaya
POI,toko abid jaya,mis al amin
POI,r3d's sport,r3d's sport
POI,r3d's sport,toko jok mul
POI,r3d's sport,best meat
POI,lippo cyber park,lippo cyber park
POI,lippo cyber park,mal cijantung
POI,lippo cyber park,tahu tek 1001 night
POI,komplek purinusa karawaci,komplek purinusa
POI,kp kebon kopi,kp kebon kopi
POI,griya salsabila permai,griya salsabila permai
POI,kedai es kelapa the kokos,kedai es kelapa the kokos
POI,santos pertama pt,santos pertama pt
POI,dki,dki
POI,jogja jaya furniture,jogja jaya furniture
POI,jogja jaya furniture,skater
POI,tb timur baru,tb timur baru
POI,tb timur baru,bumi hijau
POI,griya yuni hijab,griya yuni hijab
POI,griya yuni hijab,slamet riyadi
POI,wisata bukit mas,du lyon
POI,bakmi jogja pak sumeh,bakmi jogja pak sumeh
POI,terminal krian,terminal krian
POI,terminal krian,tower emerald
POI,perumahan jaya permai,perumahan jaya permai
POI,cipagalo rohis,rohis
POI,nasi krawu bu lilik,nasi krawu bu lilik
POI,toko batik mamat jafar,toko batik mamat jafar
POI,ekspedisi agro karya bersama,kolong tol benglap kodam
POI,ekspedisi agro karya bersama,taman 5 ulu
POI,pangkas rambut athirah,pangkas rambut athirah
POI,toko eni,toko eni
POI,pangkas rambut alfin nugraha,pangkas rambut alfin nugraha
